Staff Composite,Player,Position,Team,Andy Behrens,Brad Evans,Scott Pianowski,Dalton Del Don,Liz Loza
1,Antonio Brown,WR1,PIT,1,1,4,1,1
2,Todd Gurley,RB1,LAR,2,2,1,2,3
3,Le'Veon Bell,RB2,PIT,3,3,5,4,2
4,David Johnson,RB3,ARI,4,11,2,3,4
5,DeAndre Hopkins,WR2,HOU,5,5,9,5,5
6,Odell Beckham Jr.,WR3,NYG,6,6,12,7,6
7,Ezekiel Elliott,RB4,DAL,11,4,3,11,8
8,Julio Jones,WR4,ATL,9,7,10,6,9
9,Michael Thomas,WR5,NO,7,10,13,9,7
10,Alvin Kamara,RB5,NO,8,23,6,8,15
11,Keenan Allen,WR6,LAC,10,9,11,14,10
12,Davante Adams,WR7,GB,12,12,16,10,12
13,Saquon Barkley,RB6,NYG,15,8,7,12,11
14,A.J. Green,WR8,CIN,13,13,15,13,13
15,Mike Evans,WR9,TB,18,18,18,17,16
16,Kareem Hunt,RB7,KC,23,21,14,16,23
17,Adam Thielen,WR10,MIN,20,22,17,24,19
18,Travis Kelce,TE1,KC,17,27,24,18,17
19,Rob Gronkowski,TE2,NE,14,14,19,15,42
20,Larry Fitzgerald,WR11,ARI,16,16,22,22,22
21,Stefon Diggs,WR12,MIN,19,28,20,19,25
22,Melvin Gordon,RB8,LAC,21,15,29,33,21
23,Jerick McKinnon,RB9,SF,45,26,8,30,30
24,Doug Baldwin,WR13,SEA,48,36,27,28,29
25,Tyreek Hill,WR14,KC,24,25,42,21,18
26,T.Y. Hilton,WR15,IND,22,47,21,20,20
27,Dalvin Cook,RB10,MIN,26,30,32,23,26
28,Demaryius Thomas,WR16,DEN,38,20,30,31,24
29,Zach Ertz,TE3,PHI,27,50,26,27,14
30,Golden Tate,WR17,DET,28,24,23,38,31
31,Amari Cooper,WR18,OAK,31,29,25,25,36
32,Alshon Jeffery,WR19,PHI,25,40,28,40,35
33,Aaron Rodgers,QB1,GB,35,37,34,37,32
34,JuJu Smith-Schuster,WR20,PIT,47,49,36,36,41
35,Jarvis Landry,WR21,CLE,40,31,38,49,33
36,Leonard Fournette,RB11,JAC,30,32,44,26,71
37,Devonta Freeman,RB12,ATL,32,33,33,39,67
38,Russell Wilson,QB2,SEA,46,54,37,54,34
39,Christian McCaffrey,RB13,CAR,34,39,31,32,73
40,Josh Gordon,WR22,CLE,29,19,69,76,28
41,Evan Engram,TE4,NYG,84,17,49,57,27
42,Allen Robinson,WR23,CHI,36,59,73,29,39
43,Jordan Howard,RB14,CHI,42,34,41,41,78
44,Tom Brady,QB3,NE,58,58,45,46,38
45,Derrius Guice,RB15,WAS,33,45,40,45,83
46,Deshaun Watson,QB4,HOU,67,35,67,35,49
47,Corey Davis,WR24,TEN,43,38,70,59,37
48,Joe Mixon,RB16,CIN,41,41,53,52,77
49,Cam Newton,QB5,CAR,37,46,54,71,43
50,Alex Collins,RB17,BAL,39,60,35,42,97
51,Brandin Cooks,WR25,LAR,49,69,55,70,40
52,Marvin Jones,WR26,DET,76,62,39,43,57
53,Jimmy Graham,TE5,GB,50,57,57,86,62
54,Drew Brees,QB6,NO,54,63,58,67,46
55,Jamison Crowder,WR27,WAS,59,67,48,73,47
56,Kenyan Drake,RB18,MIA,60,53,43,34,102
57,Michael Crabtree,WR28,BAL,55,43,75,79,48
58,Robert Woods,WR29,LAR,62,74,62,88,44
59,Greg Olsen,TE6,CAR,57,76,84,50,45
60,Jay Ajayi,RB19,PHI,44,52,56,51,117
61,Derrick Henry,RB20,TEN,61,73,52,44,91
62,Sammy Watkins,WR30,KC,80,48,47,101,51
63,Chris Hogan,WR31,NE,68,82,80,48,60
64,LeSean McCoy,RB21,BUF,53,42,98,53,93
65,Mark Ingram,RB22,NO,52,56,78,64,98
66,Pierre Garcon,WR32,SF,69,85,76,68,52
67,Ronald Jones II,RB23,TB,51,81,50,61,105
68,Robby Anderson,WR33,NYJ,83,75,59,47,79
69,Carson Wentz,QB7,PHI,88,70,63,58,65
70,Lamar Miller,RB24,HOU,64,77,60,74,87
71,Devin Funchess,WR34,CAR,89,88,46,90,53
72,Dion Lewis,RB25,TEN,56,65,51,77,122
73,Jimmy Garoppolo,QB8,SF,100,98,97,63,50
74,Rashaad Penny,RB26,SEA,82,64,65,56,107
75,Rex Burkhead,RB27,NE,74,51,81,60,111
76,Royce Freeman,RB28,DEN,65,44,74,65,136
77,Emmanuel Sanders,WR35,DEN,119,55,83,69,56
78,Cooper Kupp,WR36,LAR,73,94,68,96,55
79,Delanie Walker,TE7,TEN,87,83,66,91,64
80,Kirk Cousins,QB9,MIN,93,66,79,87,54
81,Matthew Stafford,QB10,DET,71,87,71,92,59
82,Will Fuller,WR37,HOU,99,72,102,62,66
83,Sterling Shepard,WR38,NYG,75,79,91,104,63
84,Kyle Rudolph,TE8,MIN,77,86,77,108,58
85,Trey Burton,TE9,CHI,66,91,104,83,69
86,Devante Parker,WR39,MIA,86,118,89,75,72
87,Marquise Goodwin,WR40,SF,108,68,95,55,81
88,Nelson Agholor,WR41,PHI,91,106,86,85,74
89,Philip Rivers,QB11,LAC,79,78,100,98,80
90,Jordy Nelson,WR42,OAK,96,95,94,97,61
91,Patrick Mahomes,QB12,KC,118,92,119,78,108
92,Jared Goff,QB13,LAR,98,111,117,121,76
93,Ben Roethlisberger,QB14,PIT,63,104,107,116,70
94,Tarik Cohen,RB29,CHI,78,71,120,109,128
95,Jack Doyle,TE10,IND,115,101,92,106,86
96,Julian Edelman,WR43,NE,97,90,96,103,109
97,Matt Ryan,QB15,ATL,106,115,88,102,88
98,George Kittle,TE11,SF,92,125,87,66,118
99,Kenny Golladay,WR44,DET,104,114,99,123,85
100,Sony Michel,RB30,NE,72,84,115,81,180
101,Jordan Reed,TE12,WAS,105,112,105,114,84
102,Randall Cobb,WR45,GB,123,100,108,94,124
103,Kelvin Benjamin,WR46,BUF,117,93,101,155,101
104,Duke Johnson,RB31,CLE,81,107,90,119,153
105,C.J. Anderson,RB32,CAR,90,,82,105,147
106,Tevin Coleman,RB33,ATL,85,,142,80,126
107,Marlon Mack,RB34,IND,141,144,61,113,165
108,O.J. Howard,TE13,TB,124,108,110,117,100
109,Marqise Lee,WR47,JAC,107,135,131,125,75
110,Marcus Mariota,QB16,TEN,114,96,93,126,99
111,David Njoku,TE14,CLE,132,103,113,122,95
112,Kenny Stills,WR48,MIA,95,120,136,139,96
113,Isaiah Crowell,RB35,NYJ,135,61,111,84,141
114,Chris Thompson,RB36,WAS,94,,64,93,159
115,DeSean Jackson,WR49,TB,113,130,153,199,68
116,Marshawn Lynch,RB37,OAK,110,,72,89,
117,Jacksonville Jaguars,DST1,JAC,122,119,125,132,110
118,Rishard Matthews,WR50,TEN,101,,132,107,116
119,Dak Prescott,QB17,DAL,120,145,124,149,151
120,Andrew Luck,QB18,IND,111,117,121,110,94
121,Kerryon Johnson,RB38,DET,,80,85,120,
122,Cameron Brate,TE15,TB,112,129,123,151,123
123,Minnesota Vikings,DST2,MIN,126,128,129,136,115
124,Alex Smith,QB19,WAS,150,109,112,130,114
125,Mike Williams,WR51,LAC,129,102,188,112,89
126,Los Angeles Rams,DST3,LAR,134,123,122,146,121
127,Eric Ebron,TE16,IND,130,138,130,143,113
128,Cameron Meredith,WR52,NO,116,97,150,111,142
129,Austin Seferian-Jenkins,TE17,JAC,103,155,128,140,149
130,Mohamed Sanu,WR53,ATL,154,,141,162,82
131,Anthony Miller,WR54,CHI,149,105,127,,90
132,D.J. Moore,WR55,CAR,70,126,,144,125
133,Josh Doctson,WR56,WAS,133,,114,185,106
134,Philadelphia Eagles,DST4,PHI,131,133,143,141,127
135,Tyler Lockett,WR57,SEA,137,124,187,82,112
136,Tyler Eifert,TE18,CIN,128,127,139,,92
137,Carlos Hyde,RB39,CLE,,89,103,133,182
138,Jared Cook,TE19,OAK,109,142,126,176,133
139,Aaron Jones,RB40,GB,,132,146,72,166
140,Charles Clay,TE20,BUF,156,121,118,188,120
141,Los Angeles Chargers,DST5,LAC,144,146,133,163,132
