Rank,Player Name,Team,Position,ECR,vs. ECR
1,Le'Veon Bell,PIT,RB,2,1
2,Todd Gurley,LAR,RB,1,-1
3,Antonio Brown,PIT,WR,5,2
4,David Johnson,ARI,RB,3,-1
5,Ezekiel Elliott,DAL,RB,4,-1
6,Alvin Kamara,NO,RB,6,0
7,Odell Beckham Jr.,NYG,WR,9,2
8,DeAndre Hopkins,HOU,WR,7,-1
9,Saquon Barkley,NYG,RB,8,-1
10,Julio Jones,ATL,WR,10,0
11,Michael Thomas,NO,WR,12,1
12,Kareem Hunt,KC,RB,11,-1
13,Leonard Fournette,JAC,RB,15,2
14,A.J. Green,CIN,WR,16,2
15,Keenan Allen,LAC,WR,13,-2
16,Christian McCaffrey,CAR,RB,24,8
17,Davante Adams,GB,WR,18,1
18,Jerick McKinnon,SF,RB,20,2
19,Melvin Gordon,LAC,RB,14,-5
20,T.Y. Hilton,IND,WR,28,8
21,Rob Gronkowski,NE,TE,23,2
22,Dalvin Cook,MIN,RB,17,-5
23,Adam Thielen,MIN,WR,25,2
24,Travis Kelce,KC,TE,27,3
25,Devonta Freeman,ATL,RB,19,-6
26,Mike Evans,TB,WR,22,-4
27,Doug Baldwin,SEA,WR,21,-6
28,Kenyan Drake,MIA,RB,34,6
29,Jordan Howard,CHI,RB,26,-3
30,Amari Cooper,OAK,WR,33,3
31,Stefon Diggs,MIN,WR,31,0
32,Aaron Rodgers,GB,QB,41,9
33,Derrius Guice,WAS,RB,42,9
34,Joe Mixon,CIN,RB,30,-4
35,Zach Ertz,PHI,TE,37,2
36,Allen Robinson,CHI,WR,43,7
37,Larry Fitzgerald,ARI,WR,32,-5
38,Alshon Jeffery,PHI,WR,39,1
39,Alex Collins,BAL,RB,38,-1
40,Tyreek Hill,KC,WR,29,-11
41,Deshaun Watson,HOU,QB,62,21
42,Demaryius Thomas,DEN,WR,35,-7
43,Rashaad Penny,SEA,RB,47,4
44,LeSean McCoy,BUF,RB,36,-8
45,JuJu Smith-Schuster,PIT,WR,44,-1
46,Golden Tate,DET,WR,40,-6
47,Sony Michel,NE,RB,60,13
48,Royce Freeman,DEN,RB,58,10
49,Russell Wilson,SEA,QB,53,4
50,Mark Ingram,NO,RB,55,5
51,Josh Gordon,CLE,WR,46,-5
52,Marvin Jones,DET,WR,49,-3
53,Emmanuel Sanders,DEN,WR,67,14
54,Michael Crabtree,BAL,WR,56,2
55,Jimmy Graham,GB,TE,65,10
56,Tom Brady,NE,QB,57,1
57,Brandin Cooks,LAR,WR,50,-7
58,Corey Davis,TEN,WR,61,3
59,Ronald Jones II,TB,RB,59,0
60,Jarvis Landry,CLE,WR,52,-8
61,Andrew Luck,IND,QB,107,46
62,Jay Ajayi,PHI,RB,45,-17
63,Dion Lewis,TEN,RB,54,-9
64,Greg Olsen,CAR,TE,63,-1
65,Chris Hogan,NE,WR,68,3
66,Randall Cobb,GB,WR,86,20
67,Lamar Miller,HOU,RB,48,-19
68,Derrick Henry,TEN,RB,51,-17
69,Cam Newton,CAR,QB,64,-5
70,Tevin Coleman,ATL,RB,74,4
71,Carson Wentz,PHI,QB,76,5
72,Marshawn Lynch,OAK,RB,75,3
73,Evan Engram,NYG,TE,69,-4
74,Kirk Cousins,MIN,QB,81,7
75,Sammy Watkins,KC,WR,66,-9
76,Drew Brees,NO,QB,77,1
77,Pierre Garcon,SF,WR,70,-7
78,Kerryon Johnson,DET,RB,92,14
79,Jamaal Williams,GB,RB,102,23
80,Robert Woods,LAR,WR,71,-9
81,Kyle Rudolph,MIN,TE,80,-1
82,Cooper Kupp,LAR,WR,83,1
83,Robby Anderson,NYJ,WR,79,-4
84,Devin Funchess,CAR,WR,73,-11
85,Marquise Goodwin,SF,WR,93,8
86,Matthew Stafford,DET,QB,90,4
87,Chris Thompson,WAS,RB,85,-2
